"","happy","hapmar","health","finalter","satfin","income16","new_income_range"
"189","Very happy","VERY HAPPY","Fair","Better","Pretty well satisfied","UNDER $1 000","0 to 9 999"
"190","Pretty happy",".i:  Inapplicable","Fair","Worse","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"191","Pretty happy",".n:  No answer","Good","Stayed same","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"192","Pretty happy","VERY HAPPY","Fair","Worse","Not satisfied at all","$1 000 TO 2 999","0 to 9 999"
"193","Pretty happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"194","Not too happy",".i:  Inapplicable","Good","Better","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"195","Pretty happy",".i:  Inapplicable","Excellent","Better","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"196","Pretty happy","PRETTY HAPPY","Good","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"197","Very happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"198","Pretty happy",".i:  Inapplicable","Excellent","Worse","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"199","Very happy","VERY HAPPY","Excellent","Better","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"200","Pretty happy",".i:  Inapplicable","Good","Better","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"201","Pretty happy","PRETTY HAPPY","Good","Better","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"202","Pretty happy",".i:  Inapplicable","Excellent","Stayed same","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"203","Very happy","VERY HAPPY","Good","Stayed same","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"204","Not too happy",".i:  Inapplicable","Good","Stayed same","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"205","Not too happy",".i:  Inapplicable","Poor","Worse","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"206","Pretty happy","VERY HAPPY","Good","Better","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"207","Not too happy",".i:  Inapplicable","Good","Worse","Not satisfied at all","$7 000 TO 7 999","0 to 9 999"
"208","Pretty happy","VERY HAPPY","Good","Better","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"209","Pretty happy",".i:  Inapplicable","Good","Better","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"210","Pretty happy","VERY HAPPY","Excellent","Better","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"211","Not too happy",".i:  Inapplicable","Good","Worse","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"212","Pretty happy","VERY HAPPY","Good","Stayed same","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"213","Pretty happy",".i:  Inapplicable","Good","Better","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"214","Not too happy",".i:  Inapplicable","Good","Worse","More or less satisfied","$8 000 TO 9 999","0 to 9 999"
"215","Pretty happy",".i:  Inapplicable","Fair","Better","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"216","Very happy","VERY HAPPY","Good","Stayed same","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"217","Pretty happy","VERY HAPPY","Good","Stayed same","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"218","Not too happy",".i:  Inapplicable","Good","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"219","Pretty happy","PRETTY HAPPY","Good","Better","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"220","Pretty happy","PRETTY HAPPY","Good","Better","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"221","Not too happy",".i:  Inapplicable","Fair","Worse","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"222","Not too happy",".i:  Inapplicable","Fair","Better","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"223","Pretty happy",".i:  Inapplicable","Excellent","Better","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"224","Not too happy",".i:  Inapplicable","Good","Worse","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"225","Pretty happy",".i:  Inapplicable","Fair","Stayed same","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"226","Pretty happy","VERY HAPPY","Good","Better","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"227","Pretty happy","VERY HAPPY","Good","Better","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"228","Very happy","VERY HAPPY","Good","Better","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"229","Pretty happy",".i:  Inapplicable","Fair","Worse","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"230","Pretty happy",".i:  Inapplicable","Good","Better","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"231","Pretty happy",".i:  Inapplicable","Fair","Worse","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"232","Pretty happy","VERY HAPPY","Good","Better","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"233","Not too happy",".i:  Inapplicable","Good","Stayed same","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"234","Not too happy",".i:  Inapplicable","Fair","Worse","Pretty well satisfied","$3 000 TO 3 999","0 to 9 999"
"235","Not too happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$3 000 TO 3 999","0 to 9 999"
"236","Not too happy","PRETTY HAPPY","Fair","Better","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"237","Very happy","VERY HAPPY","Good","Better","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"238","Not too happy",".i:  Inapplicable","Good","Better","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"239","Pretty happy",".i:  Inapplicable","Good","Stayed same","Pretty well satisfied","$30000 TO 34999","20 000 to 39 999"
"240","Pretty happy","PRETTY HAPPY","Good","Better","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
